Code,Date,Open,High,Low,Close,Volume,Value,Trades
SBR,29/04/2013,0.100,0.110,0.100,0.110,10000,1050.000,2
SBR,30/04/2013,0.100,0.100,0.096,0.097,309311,29871.695,8
SBR,01/05/2013,0.097,0.105,0.096,0.105,472183,46728.709,6
SBR,02/05/2013,0.100,0.105,0.100,0.105,334453,33843.475,10
SBR,03/05/2013,0.105,0.110,0.105,0.105,224327,24054.335,8
SBR,06/05/2013,0.100,0.105,0.100,0.105,20000,2050.000,2
SBR,07/05/2013,0.105,0.110,0.105,0.110,5100,536.000,2
SBR,08/05/2013,0.100,0.100,0.095,0.095,187311,18063.856,7
SBR,09/05/2013,0.092,0.095,0.092,0.095,110880,10530.960,3
SBR,10/05/2013,0.094,0.094,0.090,0.090,260000,23758.240,5
SBR,13/05/2013,0.092,0.096,0.092,0.096,45000,4170.000,3
SBR,14/05/2013,0.093,0.093,0.093,0.093,27000,2511.000,2
SBR,15/05/2013,0.093,0.093,0.091,0.091,568290,51863.910,11
SBR,16/05/2013,0.096,0.115,0.096,0.110,251492,26919.750,17
SBR,17/05/2013,0.110,0.120,0.110,0.110,207200,23037.310,15
SBR,20/05/2013,0.105,0.105,0.100,0.100,22223,2297.300,3
SBR,21/05/2013,0.100,0.100,0.094,0.100,498557,48918.358,19
SBR,22/05/2013,0.105,0.105,0.100,0.100,180000,18037.275,2
SBR,23/05/2013,0.100,0.100,0.094,0.094,147455,14465.500,7
SBR,24/05/2013,0.000,0.000,0.000,0.094,0,0.000,0
SBR,27/05/2013,0.100,0.100,0.094,0.100,192000,19020.000,8
SBR,28/05/2013,0.095,0.095,0.094,0.094,160000,15140.000,3
SBR,29/05/2013,0.094,0.094,0.094,0.094,32326,3038.644,3
SBR,30/05/2013,0.000,0.000,0.000,0.094,0,0.000,0
SBR,31/05/2013,0.094,0.095,0.093,0.093,83361,7810.491,9
SBR,03/06/2013,0.094,0.094,0.093,0.093,166772,15621.068,6
SBR,04/06/2013,0.095,0.095,0.093,0.093,66837,6315.841,4
SBR,05/06/2013,0.097,0.097,0.094,0.094,100000,9550.000,2
SBR,06/06/2013,0.094,0.098,0.093,0.093,210000,19645.000,7
SBR,07/06/2013,0.093,0.093,0.092,0.092,122500,11374.973,4
SBR,11/06/2013,0.093,0.125,0.093,0.096,785465,86648.037,77
SBR,12/06/2013,0.100,0.105,0.100,0.105,149373,15590.305,11
SBR,13/06/2013,0.105,0.110,0.105,0.105,247374,26415.610,31
SBR,14/06/2013,0.105,0.105,0.105,0.105,36370,3818.850,4
SBR,17/06/2013,0.100,0.100,0.096,0.100,139800,13920.000,7
SBR,18/06/2013,0.100,0.100,0.100,0.100,70000,7000.000,5
SBR,19/06/2013,0.100,0.100,0.100,0.100,67834,6783.400,3
SBR,20/06/2013,0.100,0.105,0.100,0.100,122179,12272.900,6
SBR,21/06/2013,0.099,0.100,0.098,0.100,39500,3903.000,4
SBR,24/06/2013,0.095,0.096,0.095,0.096,225100,21469.600,6
SBR,25/06/2013,0.096,0.096,0.093,0.093,339486,31902.478,15
SBR,26/06/2013,0.093,0.094,0.093,0.093,202400,18933.200,5
SBR,27/06/2013,0.093,0.093,0.091,0.091,288000,26386.293,10
SBR,28/06/2013,0.091,0.094,0.090,0.090,346786,31685.026,12
SBR,01/07/2013,0.091,0.091,0.090,0.090,48814,4431.260,3
SBR,02/07/2013,0.090,0.090,0.090,0.090,17500,1575.000,2
SBR,03/07/2013,0.092,0.095,0.092,0.095,121575,11419.300,6
SBR,04/07/2013,0.095,0.095,0.095,0.095,28425,2700.375,1
SBR,05/07/2013,0.096,0.096,0.095,0.095,166000,15814.279,9
SBR,08/07/2013,0.091,0.091,0.090,0.090,60000,5407.247,4
SBR,09/07/2013,0.090,0.091,0.090,0.090,20000,1810.000,4
SBR,10/07/2013,0.000,0.000,0.000,0.090,0,0.000,0
