Code,Date,Open,High,Low,Close,Volume,Value,Trades
SE1,21/01/2020,0.047,0.047,0.047,0.047,50000,2350.000,1
SE1,22/01/2020,0.047,0.047,0.047,0.047,41000,1927.000,3
SE1,23/01/2020,0.000,0.000,0.000,0.047,0,0.000,0
SE1,24/01/2020,0.000,0.000,0.000,0.047,0,0.000,0
SE1,28/01/2020,0.000,0.000,0.000,0.047,0,0.000,0
SE1,29/01/2020,0.000,0.000,0.000,0.047,0,0.000,0
SE1,30/01/2020,0.000,0.000,0.000,0.047,0,0.000,0
SE1,31/01/2020,0.000,0.000,0.000,0.047,0,0.000,0
SE1,03/02/2020,0.030,0.042,0.014,0.019,12351968,240193.083,152
SE1,04/02/2020,0.019,0.023,0.016,0.021,9800329,191580.076,149
SE1,05/02/2020,0.021,0.023,0.017,0.020,3414763,65616.549,33
SE1,06/02/2020,0.019,0.021,0.019,0.020,3734365,74221.216,42
SE1,07/02/2020,0.019,0.019,0.017,0.018,3297478,59293.060,32
SE1,10/02/2020,0.018,0.018,0.016,0.016,813664,13838.560,11
SE1,11/02/2020,0.015,0.015,0.012,0.012,5253238,70361.199,42
SE1,12/02/2020,0.012,0.012,0.009,0.012,6589292,73734.734,51
SE1,13/02/2020,0.013,0.015,0.013,0.013,3634321,50364.636,32
SE1,14/02/2020,0.013,0.013,0.013,0.013,377460,4906.980,9
SE1,17/02/2020,0.013,0.013,0.013,0.013,2265724,29454.412,9
SE1,18/02/2020,0.013,0.013,0.013,0.013,2474275,32165.575,6
SE1,19/02/2020,0.012,0.012,0.010,0.010,2684118,29301.336,19
SE1,20/02/2020,0.011,0.011,0.009,0.009,3847310,38076.043,30
SE1,21/02/2020,0.011,0.012,0.010,0.010,4771687,50521.873,33
SE1,24/02/2020,0.009,0.009,0.009,0.009,1447315,13025.835,14
SE1,25/02/2020,0.009,0.009,0.008,0.008,2316600,20135.400,20
SE1,26/02/2020,0.007,0.008,0.007,0.008,339902,2632.814,3
SE1,27/02/2020,0.009,0.010,0.009,0.009,2520109,23180.981,12
